reservorio	fecha	agua_caida
LOS MOLLES	2017-03-03	0,0
MELADO	2017-03-03	0,0
PANGUE	2017-03-03	0,0
PILMAIQUEN	2017-03-03	0,0
PULLINQUE	2017-03-03	0,0
RAPEL	2017-03-03	0,0
SAUZAL	2017-03-03	0,0
ACONCAGUA	2017-03-04	0,0
CHAPO	2017-03-04	0,5
COLBÚN	2017-03-04	0,0
INVERNADA	2017-03-04	0,0
LAJA	2017-03-04	0,0
LOS MOLLES	2017-03-04	0,0
MELADO	2017-03-04	0,0
PANGUE	2017-03-04	0,0
PILMAIQUEN	2017-03-04	0,0
PULLINQUE	2017-03-04	0,0
RAPEL	2017-03-04	0,0
SAUZAL	2017-03-04	0,0
ACONCAGUA	2017-03-05	0,0
CHAPO	2017-03-05	1,5
COLBÚN	2017-03-05	0,0
INVERNADA	2017-03-05	0,0
LAJA	2017-03-05	0,0
LOS MOLLES	2017-03-05	0,0
MELADO	2017-03-05	0,0
PANGUE	2017-03-05	0,0
PILMAIQUEN	2017-03-05	0,0
PULLINQUE	2017-03-05	0,0
RAPEL	2017-03-05	0,0
SAUZAL	2017-03-05	0,0
ACONCAGUA	2017-03-06	0,0
